SMILES,value
Cc1ccc(C2=Nc3ccccc3SC(c3cccc([N+](=O)[O-])c3)C2)cc1,5.43086
CCCCCCCCC/C=C/C(=O)N[C@H]1C[C@@]2(O)C(=O)C=C[C@@H](Cl)[C@@H]2O[C@H]1O,4.21896
O=c1oc2ccccc2c(=O)n1Cc1ccc(Cl)c(Cl)c1,4.49485
CC(=O)c1cccc(Nc2c3c(nc4ccccc24)CCC3)c1,5.01042
CC(=O)c1ccccc1OCC(O)CN1CCN(C(c2ccccc2)c2ccccc2)CC1,5.11092
CCOC(=O)C(CC)n1cnc2sc(C(=O)OC(C)C)c(C)c2c1=O,4.79926
CN1CCN(c2nc(-c3ccccc3)nc3c2oc2ccccc23)CC1,5.25594
C=CCN(CC=C)C(=S)N/N=C(/C)c1ccc(F)cc1,5.06988
COc1cccc(C(=O)Nc2nnc(-c3ccc(Cl)cc3)o2)c1,6.21714
O=C(N/N=C\N1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1)c1ccncc1,5.54846
O=C(Nc1nnc(C2CCCO2)o1)c1ccc2ncsc2c1,5.06474
CCc1nc2ccccc2n1CCCCOc1ccccc1C(C)C,4.69897
O=[N+]([O-])c1cn2c(n1)OC[C@@H](OCc1cccc(-c3ccc(C(F)(F)F)cc3)n1)C2,6.0376
O=C(CSc1nnc(-c2ccccc2Br)o1)N1CCc2ccccc2C1,5.6347
COc1ccc(/C=N/NC(=O)c2cnc3c(C(F)(F)F)cccc3c2O)cc1,5.54186
O=C(Nc1ccccc1OC(=O)c1ccc(Cl)cc1)c1ccc(Cl)cc1,4.92107
CN1CCC(=O)C2(CCN(C)C23C(=O)Nc2ccc(Br)cc23)C1,4.48083
Cc1nc(SCc2ccc(F)cc2)c2oc3ccccc3c2n1,6.70997
CCCOC(=O)CSc1nc(N)c(C#N)c(-c2ccco2)c1C#N,6.70997
Cc1ccc(OC(=O)CN2C(=O)c3ccccc3C2=O)c(C(C)(C)C)c1,4.06276
Cc1ccc2c(c1)c1c(n2CC(O)CN2CCCCCC2)C(=O)CCC1,4.70612
Cc1ccc(Nc2cc(C)nn2-c2nc(C)cc(C)n2)cc1,6.70997
C=CCc1cc(/C=C(/C#N)c2nc3cc(OC)ccc3[nH]2)cc(OC)c1O,4.30642
CCc1nn2c(Nc3ccc(F)cc3)cc(C)nc2c1-c1ccccc1,4.0
CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)Oc1ccc(Cl)cc1C(=O)Nc1ccc(Cl)cc1,5.39794
Cc1ccc(-c2nnc(NC(=O)c3ccco3)o2)c(C)c1,6.15119
O=C(Nc1cccc([N+](=O)[O-])c1)c1cccc([N+](=O)[O-])c1O,4.20412
O=[N+]([O-])c1ccccc1S(=O)(=O)Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,4.81862
CN(C1CCCC1)S(=O)(=O)c1ccc(C(=O)Nc2nnc(-c3ccccc3)o2)cc1,5.86967
Cc1ccc2sc(N(CCCn3ccnc3)C(=O)c3ccc(F)cc3)nc2c1C,5.46506
Cc1nn(-c2ccccc2)nc1C(=O)c1c(C)nn(-c2ccccc2)c1O,5.07831
Nc1ncnc2c1nc(S)n2CCOc1cccc2ccccc12,4.28463
CCSc1nnc(NC(=O)CSc2c[nH]c3ccccc23)s1,4.34272
COC(=O)CSc1ccnc2cc(Cl)ccc12,5.37212
COc1ccc(NC(=O)N2CCc3c(sc(NC(=O)c4ccc([N+](=O)[O-])o4)c3C(N)=O)C2)cc1,4.27417
O=[N+]([O-])c1cn2c(n1)OC[C@@H](OCc1cnc(-c3ccc(OC(F)(F)F)cc3)cn1)C2,6.81914
Oc1ccccc1C1=NN[C@H](c2ccccc2O)C1,4.18046
CC(C)(C)OC(=O)NC1C2CN(c3cc4c(cc3F)c(=O)c(C(=O)O)c3sc5ccccc5n34)CC21,6.58826
COc1ccc(CN(Cc2cc3ccccc3nc2OC)CC(O)CN2CCCC2)cc1,4.72955
O=C(Nc1ccc(C(F)(F)F)cc1)c1cc(Br)ccc1O,5.85241
Oc1ccc(CSc2ccccc2)c2cccnc12,5.32259
CCCCCCn1nnnc1[Se]Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,6.16055
Cc1ccc2c(Cn3cc(COc4ccc(Cl)cc4)nn3)cc(=O)oc2c1,3.88288
COc1cc(C(=O)Nc2nnc(-c3ccc4c(c3)OCO4)o2)cc(OC)c1OC,4.0
COc1ccc(Cl)cc1C(=S)Nc1ccc(Br)cc1,4.79588
Cc1ccc2c(COc3cccc(I)c3)cc(=O)oc2c1C,4.2107
O=[N+]([O-])c1ccc2[nH]c3c(C4=C[C@@]5(O)CC/C=C/CCCCN6CC[C@@H]4[C@]4(C[C@@H]7/C=C\CCCCN7[C@@H]54)C6)nccc3c2c1,5.56949
CC(C)=CCC/C(C)=C/COc1ccc(/C=C/C(=O)N/N=c2/[nH]ncc3ccccc23)cc1,4.14267
O=C(c1nc2ccccc2s1)N1CCN(C(c2ccccc2)c2ccccc2)CC1,5.72354
O=C(Nc1ccc(Cl)cc1)Nc1csc([N+](=O)[O-])c1,4.10207
CC(C)=CCC/C(C)=C/COCCNC1C2CC3CC(C2)CC1C3,6.24413
CCOc1ccc(CN2CCN(CC(O)Cn3c4ccccc4c4ccccc43)CC2)cc1,5.36161
C=CCc1cc(C)ccc1OCCCCn1ccnc1,5.23413
CCCC(=O)N1CCN(c2ccc(NC(=O)c3ccc(-c4ccc(Cl)cc4)o3)cc2Cl)CC1,5.36997
COc1ccc(-c2nn(-c3ccccc3)cc2/C=N/N=C(N)N)cc1OC,4.87543
O=[N+]([O-])c1cn2c(n1)OC[C@@H](O)C2,4.39794
CCc1nc2cnc(C)cc2n1CCCCOc1ccccc1,5.82391
CN(C)CCN1CCN(CC(=O)N2CCN(c3cc4c(cc3F)c(=O)c(C(=O)O)cn4C3CC3)CC2)CC1,3.91721
